method,knob,k,ndcg,P,priv_share,spd,rr
Baseline,,10,0.5493302115914368,0.5359999999999999,0.033,7.285040767817991e-08,0.6969791217826102
Baseline,,50,0.5794568481746565,0.48239999999999994,0.04019999999999999,0.00022765361626532113,0.6969791217826102
MMR,0.0,10,0.4405309577745238,0.413,0.027000000000000003,-3.779567262562622e-05,0.7142968274266228
MMR,0.0,50,0.5222051681295917,0.4378000000000001,0.033600000000000005,1.9319001324046473e-05,0.7142968274266228
MMR,0.1,10,0.4405165914616187,0.4150000000000001,0.025,-5.042223868563738e-05,0.7139127163685987
MMR,0.1,50,0.5201210585993773,0.4376,0.033,3.7915223402971816e-07,0.7139127163685987
MMR,0.2,10,0.43914932378138954,0.41400000000000003,0.022000000000000002,-6.936581282456382e-05,0.7153027148346915
MMR,0.2,50,0.5196145405557374,0.4368,0.033400000000000006,1.3013168391860286e-05,0.7153027148346915
MMR,0.3,10,0.4439507540076958,0.419,0.025,-5.043341383236647e-05,0.7170528036385423
MMR,0.3,50,0.5266383765912301,0.4406000000000001,0.034,3.194556738405763e-05,0.7170528036385423
MMR,0.4,10,0.43585760617814834,0.409,0.026000000000000006,-4.411640575345119e-05,0.7125242789468597
MMR,0.4,50,0.5271422819916601,0.44480000000000003,0.0332,6.69243526403529e-06,0.7125242789468597
MMR,0.5,10,0.44894811469001444,0.42699999999999994,0.024000000000000004,-5.674297181346236e-05,0.71133268008268
MMR,0.5,50,0.5355240011989125,0.45120000000000005,0.033,3.642520383909283e-07,0.71133268008268
MMR,0.6,10,0.4838231437653934,0.46199999999999997,0.031,-1.254999060342329e-05,0.7070737984237985
MMR,0.6,50,0.548391931704252,0.45620000000000005,0.033800000000000004,2.5617384158413267e-05,0.7070737984237985
MMR,0.7,10,0.5205759169372087,0.507,0.037000000000000005,2.533343262551992e-05,0.7017368737500317
MMR,0.7,50,0.5556417124653968,0.46080000000000004,0.034600000000000006,5.08742413273453e-05,0.7017368737500317
MMR,0.8,10,0.5407913931358375,0.527,0.044,6.952268878664932e-05,0.7045401004818298
MMR,0.8,50,0.5667531239716387,0.46940000000000004,0.0356,8.243693142846349e-05,0.7045401004818298
MMR,0.9,10,0.5470543438173329,0.535,0.037000000000000005,2.5325982527700522e-05,0.7003216843043678
MMR,0.9,50,0.5714179564787697,0.4754,0.039200000000000006,0.00019608347606638342,0.7003216843043678
MMR,1.0,10,0.5493302115914368,0.5359999999999999,0.033,7.285040767817991e-08,0.6969791217826102
MMR,1.0,50,0.5794568481746565,0.48239999999999994,0.04019999999999999,0.00022765361626532113,0.6969791217826102
Fair-Top-K,0.0,10,0.5493302115914368,0.5359999999999999,0.033,7.285040767817991e-08,0.6969791217826102
Fair-Top-K,0.0,50,0.5794568481746565,0.48239999999999994,0.04019999999999999,0.00022765361626532113,0.6969791217826102
Fair-Top-K,0.9,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969791217826102
Fair-Top-K,0.9,50,0.5794811063298362,0.48219999999999996,0.0378,0.00015189049485634436,0.6969791217826102
Fair-Top-K,0.95,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969445595706286
Fair-Top-K,0.95,50,0.5797896940324452,0.4825999999999999,0.0318,-3.7522896239462017e-05,0.6969445595706286
Fair-Top-K,0.97,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969900948674962
Fair-Top-K,0.97,50,0.5790374394087351,0.48219999999999996,0.025799999999999997,-0.0002269325622863586,0.6969900948674962
Fair-Top-K,0.98,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969900948674962
Fair-Top-K,0.98,50,0.5786242925795768,0.4815999999999999,0.0164,-0.0005236717648922598,0.6969900948674962
Fair-Top-K,0.99,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969900948674962
Fair-Top-K,0.99,50,0.5786242925795768,0.4815999999999999,0.0164,-0.0005236717648922598,0.6969900948674962
Fair-Top-K,0.995,10,0.5492798681226436,0.5359999999999999,0.029000000000000005,-2.5180281712344153e-05,0.6969900948674962
Fair-Top-K,0.995,50,0.5786242925795768,0.4815999999999999,0.0164,-0.0005236717648922598,0.6969900948674962
Fair-Top-K,1.0,10,0.5464776308705006,0.532,0.0,-0.00020827666472923522,0.697703534310003
Fair-Top-K,1.0,50,0.5768292524348027,0.48,0.0,-0.0010413833236461762,0.697703534310003
