id,canonical_institution_key,inst_global_rank,inst_prestige_tier,is_privileged,proxy_group
0704.0150,university of chinese academy of sciences,,unranked,False,Underrepresented
0704.0217,northwestern university,,unranked,False,Underrepresented
0704.0256,the university of texas at austin,,unranked,False,Underrepresented
0704.0388,universidad autónoma de madrid,,unranked,False,Underrepresented
0704.0712,max born institute for nonlinear optics and short pulse spectroscopy,,unranked,False,Underrepresented
0704.0774,university of nottingham,,unranked,False,Underrepresented
0704.0821,california institute of technology,10,top20,True,Privileged
0704.0894,georgia state university,,unranked,False,Underrepresented
0704.0934,kurchatov institute,,unranked,False,Underrepresented
0704.1035,shahid beheshti university,,unranked,False,Underrepresented
0704.1086,université paris sud,,unranked,False,Underrepresented
0704.1136,institute of astronomy and space physics,,unranked,False,Underrepresented
0704.1205,augsburg university,,unranked,False,Underrepresented
0704.1352,university of missouri,,unranked,False,Underrepresented
0704.1440,university of stuttgart,,unranked,False,Underrepresented
0704.1703,university of california,17,top20,True,Privileged
0704.1781,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0704.1909,university of augsburg,,unranked,False,Underrepresented
0704.1949,kobe university,,unranked,False,Underrepresented
0704.2077,macdiarmid institute for advanced materials and nanotechnology,,unranked,False,Underrepresented
0704.2249,university of california,17,top20,True,Privileged
0704.2400,deutsches elektronen synchrotron desy,,unranked,False,Underrepresented
0704.2502,punjab engineering college,,unranked,False,Underrepresented
0704.2652,institute for theoretical and experimental physics,,unranked,False,Underrepresented
0704.2728,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0704.2747,centre national de la recherche scientifique,,unranked,False,Underrepresented
0704.2781,czech academy of sciences,,unranked,False,Underrepresented
0704.2836,villanova university,,unranked,False,Underrepresented
0704.2837,heidelberg university,,unranked,False,Underrepresented
0704.3021,university of memphis,,unranked,False,Underrepresented
0704.3028,universidade do porto,,unranked,False,Underrepresented
0704.3330,tsinghua university,17,top20,True,Privileged
0704.3538,nagoya university,,unranked,False,Underrepresented
0704.3837,friedrich schiller university jena,,unranked,False,Underrepresented
0705.0101,chinese academy of sciences,,unranked,False,Underrepresented
0705.0104,utrecht university,,unranked,False,Underrepresented
0705.0220,landau institute for theoretical physics,,unranked,False,Underrepresented
0705.0301,university of southampton,,unranked,False,Underrepresented
0705.0570,université paris 8,,unranked,False,Underrepresented
0705.0599,université paris sud,,unranked,False,Underrepresented
0705.0734,tsinghua university,17,top20,True,Privileged
0705.0829,hokkaido university,,unranked,False,Underrepresented
0705.0928,princeton university,25,top50,False,Underrepresented
0705.1065,karlsruhe institute of technology,,unranked,False,Underrepresented
0705.1078,german cancer research center,,unranked,False,Underrepresented
0705.1186,,,no_institution,False,Underrepresented
0705.1326,middle east technical university,,unranked,False,Underrepresented
0705.1407,czech academy of sciences,,unranked,False,Underrepresented
0705.1495,national institute of chemical physics and biophysics,,unranked,False,Underrepresented
0705.1721,durham university,,unranked,False,Underrepresented
0705.1860,japan aerospace exploration agency,,unranked,False,Underrepresented
0705.1873,middle east technical university,,unranked,False,Underrepresented
0705.1975,national centre of scientific research demokritos,,unranked,False,Underrepresented
0705.2020,institute of particle physics,,unranked,False,Underrepresented
0705.2094,university of crete,,unranked,False,Underrepresented
0705.2134,national taiwan university,,unranked,False,Underrepresented
0705.2178,universitat politècnica de catalunya,,unranked,False,Underrepresented
0705.2251,space telescope science institute,,unranked,False,Underrepresented
0705.2275,osaka university,,unranked,False,Underrepresented
0705.2325,instituto superior técnico,,unranked,False,Underrepresented
0705.2563,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0705.2632,pusan national university,,unranked,False,Underrepresented
0705.2652,institute of theoretical physics,,unranked,False,Underrepresented
0705.2756,observatoire astronomique de strasbourg,,unranked,False,Underrepresented
0705.2794,the university of texas at austin,,unranked,False,Underrepresented
0705.3042,yale university,21,top50,False,Underrepresented
0705.3095,maria curie skłodowska university,,unranked,False,Underrepresented
0705.3254,university of palermo,,unranked,False,Underrepresented
0705.3458,college of staten island,,unranked,False,Underrepresented
0705.3892,université de montpellier,,unranked,False,Underrepresented
0705.4019,university of pisa,,unranked,False,Underrepresented
0705.4177,weizmann institute of science,,unranked,False,Underrepresented
0705.4204,university of augsburg,,unranked,False,Underrepresented
0705.4463,johns hopkins university,24,top50,False,Underrepresented
0705.4592,weizmann institute of science,,unranked,False,Underrepresented
0705.4652,instituto de astrofísica de andalucía,,unranked,False,Underrepresented
0706.0069,ntt japan,,unranked,False,Underrepresented
0706.0075,landau institute for theoretical physics,,unranked,False,Underrepresented
0706.0129,university of warsaw,,unranked,False,Underrepresented
0706.0258,kyoto university,,unranked,False,Underrepresented
0706.0361,citadel,,unranked,False,Underrepresented
0706.0459,durham university,,unranked,False,Underrepresented
0706.0473,consejo superior de investigaciones científicas,,unranked,False,Underrepresented
0706.0535,center for astrophysics harvard smithsonian,,unranked,False,Underrepresented
0706.0655,kth royal institute of technology,,unranked,False,Underrepresented
0706.0659,material physics center,,unranked,False,Underrepresented
0706.0692,bulgarian academy of sciences,,unranked,False,Underrepresented
0706.0759,kavli institute for the physics and mathematics of the universe,,unranked,False,Underrepresented
0706.1038,japan science and technology agency,,unranked,False,Underrepresented
0706.1213,university of lancashire,,unranked,False,Underrepresented
0706.1573,columbia university,,unranked,False,Underrepresented
0706.1583,university of washington,,unranked,False,Underrepresented
0706.1627,university of electro communications,,unranked,False,Underrepresented
0706.1723,university of duisburg essen,,unranked,False,Underrepresented
0706.1922,leiden university,,unranked,False,Underrepresented
0706.2080,,,no_institution,False,Underrepresented
0706.2094,institute of photonic sciences,,unranked,False,Underrepresented
0706.2157,william mary,,unranked,False,Underrepresented
0706.2283,okayama university of science,,unranked,False,Underrepresented
0706.2285,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0706.2346,école polytechnique fédérale de lausanne,,unranked,False,Underrepresented
0706.2436,chinese university of hong kong,32,top50,False,Underrepresented
0706.2489,,,no_institution,False,Underrepresented
0706.2523,university of chile,,unranked,False,Underrepresented
0706.2531,national institute of chemical physics and biophysics,,unranked,False,Underrepresented
0706.2543,istanbul technical university,,unranked,False,Underrepresented
0706.2615,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0706.2779,university of jyväskylä,,unranked,False,Underrepresented
0706.2802,universidade estadual de campinas unicamp,,unranked,False,Underrepresented
0706.2973,university of cologne,,unranked,False,Underrepresented
0706.3019,massachusetts institute of technology,1,top20,True,Privileged
0706.3046,yale university,21,top50,False,Underrepresented
0706.3151,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0706.3214,kavli institute for the physics and mathematics of the universe,,unranked,False,Underrepresented
0706.3281,european southern observatory,,unranked,False,Underrepresented
0706.3426,national astronomical observatories,,unranked,False,Underrepresented
0706.3476,trinity college dublin,,unranked,False,Underrepresented
0706.3576,johannes gutenberg university mainz,,unranked,False,Underrepresented
0706.3641,tel aviv university,,unranked,False,Underrepresented
0706.3790,university of helsinki,,unranked,False,Underrepresented
0706.3921,universidad nacional autónoma de méxico,,unranked,False,Underrepresented
0706.3968,university of bern,,unranked,False,Underrepresented
0706.4016,universidade de são paulo,,unranked,False,Underrepresented
0706.4206,institute for high energy physics,,unranked,False,Underrepresented
0706.4214,university of sheffield,,unranked,False,Underrepresented
0706.4221,gauhati university,,unranked,False,Underrepresented
0706.4259,university of north carolina at chapel hill,,unranked,False,Underrepresented
0706.4445,universidade presbiteriana mackenzie,,unranked,False,Underrepresented
0707.0127,northwestern university,,unranked,False,Underrepresented
0707.0250,wayne state university,,unranked,False,Underrepresented
0707.0331,chinese academy of sciences,,unranked,False,Underrepresented
0707.0376,universitat autònoma de barcelona,,unranked,False,Underrepresented
0707.0450,eth zurich,7,top20,True,Privileged
0707.0455,scuola internazionale superiore di studi avanzati,,unranked,False,Underrepresented
0707.0516,european southern observatory,,unranked,False,Underrepresented
0707.0542,peking university,14,top20,True,Privileged
0707.0665,university of nottingham,,unranked,False,Underrepresented
0707.0798,georgia institute of technology,,unranked,False,Underrepresented
0707.0977,national university of singapore,8,top20,True,Privileged
0707.1121,university of maryland,,unranked,False,Underrepresented
0707.1297,centro brasileiro de pesquisas físicas,,unranked,False,Underrepresented
0707.1305,institute for solid state physics and optics,,unranked,False,Underrepresented
0707.1470,princeton university,25,top50,False,Underrepresented
0707.1488,occidental college,,unranked,False,Underrepresented
0707.1554,university of illinois urbana champaign,,unranked,False,Underrepresented
0707.1711,university of colorado boulder,,unranked,False,Underrepresented
0707.1909,syracuse university,,unranked,False,Underrepresented
0707.1941,nagoya university,,unranked,False,Underrepresented
0707.2050,university of oxford,4,top20,True,Privileged
0707.2261,university of geneva,,unranked,False,Underrepresented
